V1,V2,V3,V4,target
-1.903199695,0.08170541,0.117437254,-1.062819111,0
-1.372603849,0.26017818,1.980223394,0.036844459,0
0.67077443,2.765100973,1.908660347,-0.459709761,1
0.943335893,1.702993607,0.799245902,0.733539076,1
-0.879663156,1.130673365,-1.253289105,0.068028968,0
1.081325422,1.496401232,1.71263695,1.569575568,1
0.724544179,-0.230516739,1.541711341,2.753316574,1
-0.942611962,0.378085169,-0.25773241,-0.817335198,0
2.739730662,1.327809765,0.097895928,-0.290145853,1
1.068622145,0.271383981,0.649870626,1.80706206,1
0.518512683,1.056688381,0.554793836,0.847398161,1
-0.145334402,-0.148708296,1.169681563,-0.929928541,0
0.096818935,1.243056659,0.324630038,-0.762447666,0
-0.768570429,0.190859304,0.770344048,0.978576579,1
1.36617995,-0.520818175,-0.429489017,0.982421678,1
-0.364469274,1.925579715,1.713423105,0.096437602,1
1.791660097,1.16482075,1.337023814,-1.311518203,0
0.699948181,-0.920683528,0.179550447,0.076957175,0
-0.04938403,0.857530833,-0.394573591,-0.501571586,1
-0.806597938,-0.702784923,-0.593751564,2.745690733,0
1.617003283,0.543670363,-0.978830548,0.691139916,1
0.073951641,-1.041188183,1.275530028,1.266055011,1
-0.76698296,-0.216703282,0.906793975,-0.845937087,0
-1.217666189,-0.102966574,0.562380703,-0.404989716,0
0.776579227,2.232863968,-0.75103173,0.907405859,1
-1.484408323,-2.554568161,0.010271394,-0.868317351,0
-0.805364501,-0.425134917,0.992899097,1.22141262,0
0.213798482,0.742899479,1.285916649,0.629245481,1
0.453625727,1.15039996,0.467604719,1.315844076,0
0.176460789,-0.034216166,-0.909062347,0.516290626,0
0.85034962,-0.050598993,0.769450553,0.278453688,1
0.307177694,1.288417759,1.316881232,0.001682287,1
-1.330065602,0.733277087,1.206703925,-0.377921222,1
1.943278579,-0.145157531,0.401536584,0.766766038,1
-1.05420164,-1.113005473,1.201216032,-1.144471306,0
0.168846877,0.225347574,1.595464979,-0.015547683,1
1.287995483,0.158315879,0.773265788,0.25482828,1
-0.217120365,-2.14966688,1.439037333,-0.626612451,0
2.19685422,0.142616762,1.181476416,-2.083339585,1
2.063929144,-1.817209679,0.131213536,0.246989953,0
-0.251962534,1.07918375,1.310918362,0.423546432,0
0.410424968,-0.940580801,-0.689102972,-0.30795133,0
-0.133009058,-1.887278457,-0.061368137,0.459582778,0
-0.059794252,1.855824491,0.595453275,0.015222012,1
1.007155264,1.210672848,1.24208562,0.19990435,1
1.432707506,-1.084167956,-0.70267584,-0.019836882,0
0.285225229,-0.281704658,0.665000714,0.189171882,0
0.082960985,1.562293017,-1.570878681,-0.294751389,0
0.821338568,0.119276104,1.086923151,-0.15894569,0
0.476158458,0.189905688,-0.325557751,-0.369855979,1
1.094116239,-0.260808943,-2.433096037,0.805089655,0
-1.225224203,1.460779859,-0.799867772,1.291093586,0
0.269280124,2.081740337,1.590187126,-1.681589188,0
-0.730785815,-0.155074143,-1.224333444,-1.505295378,0
1.578048968,0.260149922,-0.132276066,0.427622824,0
0.557107653,-1.268549292,-1.907244195,0.762716708,0
-0.788353571,0.431396754,-0.165309397,-0.722061142,0
-0.424893154,0.523042796,1.908139723,0.821385428,0
-0.215520432,1.125352306,0.731660004,0.753339437,0
-0.040984141,0.114733359,0.259852505,-0.344727405,0
0.337433698,-1.411253558,0.824843182,0.657285792,1
0.657740514,1.082571953,-2.160588458,-0.910029999,1
1.435128397,1.076191351,-2.112001243,0.232991881,1
-0.710090125,1.235732355,1.263875137,-1.38727949,1
0.201930338,1.515080178,0.334321829,0.285659642,1
1.81445969,0.851310752,1.085461614,0.93107067,1
1.010009476,-0.274483748,-0.115928489,0.718829459,1
2.830883971,1.414432772,2.059343397,0.192189024,1
0.651630731,0.856405258,-1.137415357,-1.30296816,0
0.139826996,0.332672906,2.805790769,1.456532807,1
0.311676608,1.48472241,1.46642115,-1.971997216,1
0.773073457,-1.68211897,-1.509823269,-0.22967003,0
0.998841421,2.038095638,-0.891739549,0.400900158,1
0.396563071,-0.217082353,0.747579341,0.966241058,1
1.656918532,1.255723112,1.292576334,0.684693046,1
0.078421718,-0.866213534,1.452632529,-0.533918631,0
-0.617033222,-0.073551336,1.095182267,-0.248748112,0
2.565256806,2.384813857,-0.686762323,1.162111693,0
-0.949107689,0.016129526,1.263178506,0.157675959,1
0.494130954,-1.496246332,1.56304849,-0.169987248,0
1.033786352,-1.683411363,-0.578340696,1.030219083,1
-0.461230752,-1.072667917,-0.59573809,0.297095956,0
-1.455583619,-0.075009116,0.31952202,1.284129222,0
2.361384658,0.910180341,0.49001408,-1.683269698,0
-0.047032422,1.304421445,-0.663064799,0.948983631,0
0.179103214,1.405129691,0.129567589,-0.651735701,1
1.786612414,0.786223801,0.104672639,0.385682035,1
0.03932579,0.16055745,-0.829461177,-0.62450164,0
0.888423161,2.054010708,0.085346916,1.353151378,1
-0.266224264,-0.244868755,2.274962657,-0.014716687,1
0.766873888,-0.052890084,-0.015068408,1.707555527,0
0.966168636,-0.024840882,0.055827364,-0.465349656,0
-1.642488507,-0.214932949,0.708113538,1.303195326,0
0.410707147,0.720800636,0.351470952,-0.298606115,0
-0.012047554,1.629542903,1.709403181,-1.724865477,1
-2.540752697,0.074280755,-0.908791259,-0.117796844,0
1.36370849,0.076768894,0.578518517,-0.450554201,1
-1.516381426,-0.688535815,-0.80338005,0.882318794,0
2.541718395,1.353214583,1.91867475,0.096374491,1
0.872768354,-0.746617334,1.899126892,0.669639917,1
-0.338325636,-0.970459179,0.474086929,0.232735996,0
0.910017405,-0.070725232,1.112885767,-0.177839605,0
1.779174753,2.222717737,1.443148109,0.966928183,1
-0.941844106,0.001628435,-0.22441379,-0.497788278,0
-0.172111291,0.394643414,0.445061544,-0.146533993,0
1.533773834,0.595418271,1.358413249,-0.619621189,1
-0.368396536,-0.350382537,1.532790573,0.274860347,0
0.783282489,-0.646283934,0.123121314,-0.689258479,0
-1.282519175,-0.821434941,0.879526836,0.760694954,0
-0.593709436,-0.961789711,0.018511837,0.040165543,1
0.676737669,1.96629744,1.753277808,0.239700558,0
0.590729369,1.051809698,-0.735940945,1.068413006,1
-0.26234315,1.155992668,1.285929338,0.470090937,1
0.616906928,3.153088108,0.315165514,-0.428240668,1
2.102942871,1.250096971,-1.14179961,1.293910469,1
-0.268100098,-0.026366347,-0.321511679,1.46160071,1
1.806961523,-0.27779089,1.812761715,1.380070273,1
-0.841902111,-1.025983141,0.563047927,1.047679323,1
-0.648300912,2.553619995,-1.489333917,-0.808862796,0
0.707730899,-1.11869532,-0.811877698,-0.288502076,0
1.668769074,1.839850849,0.818962723,0.330707295,1
2.067350855,-1.698705149,0.545839217,-0.371882503,1
0.871928793,2.310878499,0.674219883,1.555052522,1
0.7104931,1.731534452,1.387814063,0.996981886,1
-1.124061312,0.10007327,0.930535331,1.236147107,1
0.237110151,3.344457236,0.828498563,2.122187237,1
-0.082837658,1.427267476,1.042097693,1.053650207,1
0.550954129,-1.320619264,-0.390916738,0.182991329,0
-1.750046356,0.707570552,-0.356354535,-0.443529469,0
-0.983311262,1.11006605,1.148974241,0.852751358,1
0.787630006,-0.093984315,1.214883414,2.26349899,1
0.338723799,1.305569875,1.455825776,0.633092651,1
0.298081306,-1.159687295,2.18274076,0.761112107,1
1.037213135,-0.40545916,-0.174020517,-0.010223172,0
1.585418213,-0.269774054,-0.857274014,-1.035023157,0
-0.041172611,1.517538733,1.183146844,1.153144559,1
1.512566767,0.396426052,-0.556391235,-0.036837148,0
1.752938592,2.315012775,0.159778056,-1.317335767,1
-1.599159054,1.075478462,1.347780444,1.819113347,1
1.024102933,0.926373695,1.011824649,2.279614116,1
-1.21992859,-1.06714764,-0.125593943,-1.789270196,0
2.328302526,0.924734068,-1.058452127,0.057291898,0
-0.39535707,0.440887732,-0.251609792,0.468986623,0
-0.168664126,-1.324733355,-0.383284583,1.162419428,0
0.959524897,0.135203575,-0.835235765,0.311766682,0
0.883241693,0.005258345,-0.016180706,0.551590034,1
1.784818165,1.834056462,0.441643002,-0.222622329,1
-0.075963774,-1.063469993,-0.078521352,-1.012018813,0
1.015974333,0.797217431,2.248882402,-0.320296,1
-0.780008075,1.025835425,-0.005747828,1.645911703,1
0.461567087,2.352919975,0.415824178,1.687472088,0
2.076593567,-1.097769235,1.023947179,0.56331536,0
1.3422449,2.017974277,-0.478195324,-1.666482393,1
0.452055413,-0.294789007,2.331341701,1.557719743,1
0.443901915,0.760158078,0.322021952,-1.07777508,1
1.158415427,-0.428579516,0.156658636,0.57258628,1
-1.324011806,0.074763789,-0.039429329,1.175504527,0
-1.414131105,0.640419887,1.185236475,1.530641388,1
-0.65646172,-0.629342967,1.205475696,1.623866534,0
1.382134405,0.508290652,-1.11923367,1.619265004,0
2.163802574,1.659532887,0.831049993,0.479468343,1
0.618578735,0.722578856,0.665323393,-0.544843071,1
3.165982626,0.907870966,2.233053653,2.070649729,1
-0.351733503,0.986598773,-0.460799924,-0.219569758,0
0.431989735,-0.55991316,-0.801504295,0.395791478,1
0.455028764,-0.564688442,1.022678716,0.002262746,1
-1.076161672,0.823073447,-2.033890176,0.455145328,0
0.818018062,1.271374451,1.348764026,-2.668457418,1
0.455995241,0.737977101,2.082125786,2.469441854,1
-1.649787089,-1.964330083,0.132782649,-1.023941332,0
-0.07927311,-0.264317059,1.934254131,-1.927817221,0
1.820398863,0.949249986,1.756572573,1.046245444,1
0.343892324,1.416458429,1.407167144,0.973275195,0
-1.087737919,0.792151631,1.370938995,0.807137055,0
-0.30784642,0.721532287,0.283536637,0.944662188,1
0.537297149,0.702208463,0.362082154,1.005196147,1
0.771632322,-0.420331999,-0.034144207,1.130270635,0
0.516154983,0.35540498,1.096670639,1.180462831,1
-0.363241689,1.110716879,-3.455743633,0.797019399,0
